,Oil rate
1,731.514446
2,624.0212576
3,846.1498107
4,2755.051589
5,2244.958665
6,6171.825538
7,3567.436426
8,5676.839158
9,4784.813365
10,6867.16874
11,10430.98105
12,17442.7929
13,17030.34164
14,40039.87307
15,45417.95109
16,48424.38542
17,44751.69602
18,41607.35739
19,34822.01413
20,18485.08296
21,16308.14499
22,15174.75528
23,11203.02824
24,11072.03286
25,10566.18565
26,3858.168621
27,861.1726005
28,1264.087541
29,1797.496641
30,3034.108071
31,4500.101734
32,3487.18511
33,4945.623797
34,4288.934693
35,3995.235314
36,3112.870364
37,3065.316283
38,5637.878887
39,8091.370292
40,11438.70765
41,12623.69004
42,17123.50354
43,26214.04718
44,20229.54027
45,17179.12297
46,22843.97517
47,19920.7088
48,21316.89473
49,12759.7921
50,17672.3296
